Date,name,Time
2023-02-27,Dong,5.0
2023-02-28,Dong,9.0
2023-03-01,Dong,10.0
2023-03-02,Dong,10.0
2023-03-03,Dong,8.0
2023-03-04,Dong,7.0
2023-03-05,Dong,7.0
2023-03-06,Dong,5.0
2023-03-07,Dong,9.0
2023-03-08,Dong,11.0
2023-03-09,Dong,8.0
2023-03-10,Dong,8.0
2023-03-11,Dong,7.0
2023-03-12,Dong,7.0
2023-03-13,Dong,5.0
2023-03-14,Dong,8.0
2023-03-15,Dong,9.0
2023-03-16,Dong,9.0
2023-03-17,Dong,9.0
2023-03-18,Dong,9.0
2023-03-19,Dong,7.0
2023-03-20,Dong,5.0
2023-03-21,Dong,9.0
2023-03-22,Dong,9.0
2023-03-23,Dong,9.0
2023-03-24,Dong,8.0
2023-03-25,Dong,7.0
2023-03-26,Dong,9.0
2023-03-27,Dong,5.0
2023-03-28,Dong,8.0
2023-03-29,Dong,11.0
2023-03-30,Dong,9.0
2023-03-31,Dong,9.0
2023-04-01,Dong,8.0
2023-04-02,Dong,7.0
2023-04-03,Dong,5.0
2023-04-04,Dong,9.0
2023-04-05,Dong,9.0
2023-04-06,Dong,9.0
2023-04-07,Dong,8.0
2023-04-08,Dong,7.0
2023-04-09,Dong,9.0
2023-04-10,Dong,5.0
2023-04-11,Dong,8.0
2023-04-12,Dong,9.0
2023-04-13,Dong,9.0
2023-04-14,Dong,9.0
2023-04-15,Dong,7.0
2023-04-16,Dong,9.0
2023-04-17,Dong,5.0
2023-04-18,Dong,8.0
2023-04-19,Dong,10.0
2023-04-20,Dong,9.0
2023-04-21,Dong,8.0
