Date,name,Time
2023-02-27,Qianxi,2.0
2023-02-28,Qianxi,2.0
2023-03-01,Qianxi,2.0
2023-03-02,Qianxi,4.0
2023-03-03,Qianxi,4.0
2023-03-04,Qianxi,1.0
2023-03-05,Qianxi,3.0
2023-03-06,Qianxi,2.0
2023-03-07,Qianxi,3.0
2023-03-08,Qianxi,2.0
2023-03-09,Qianxi,0.0
2023-03-10,Qianxi,0.0
2023-03-11,Qianxi,0.0
2023-03-12,Qianxi,6.0
2023-03-13,Qianxi,0.0
2023-03-14,Qianxi,0.0
2023-03-15,Qianxi,0.0
2023-03-16,Qianxi,5.0
2023-03-17,Qianxi,2.0
2023-03-18,Qianxi,2.0
2023-03-19,Qianxi,2.0
2023-03-20,Qianxi,2.0
2023-03-21,Qianxi,2.0
2023-03-22,Qianxi,2.0
2023-03-23,Qianxi,3.0
2023-03-24,Qianxi,2.0
2023-03-25,Qianxi,4.0
2023-03-26,Qianxi,2.0
2023-03-27,Qianxi,4.0
2023-03-28,Qianxi,3.0
2023-03-29,Qianxi,2.0
2023-03-30,Qianxi,5.0
2023-03-31,Qianxi,2.0
2023-04-01,Qianxi,0.0
2023-04-02,Qianxi,4.0
2023-04-03,Qianxi,2.0
2023-04-04,Qianxi,6.0
2023-04-05,Qianxi,8.0
2023-04-06,Qianxi,3.0
2023-04-07,Qianxi,0.0
2023-04-08,Qianxi,0.0
2023-04-09,Qianxi,0.0
2023-04-10,Qianxi,3.0
2023-04-11,Qianxi,3.0
2023-04-12,Qianxi,4.0
2023-04-13,Qianxi,5.0
2023-04-14,Qianxi,2.0
2023-04-15,Qianxi,3.0
2023-04-16,Qianxi,4.0
2023-04-17,Qianxi,2.0
2023-04-18,Qianxi,4.0
2023-04-19,Qianxi,6.0
2023-04-20,Qianxi,4.0
2023-04-21,Qianxi,2.0
